"sseqid","entrezgene_id","function","external_gene_name"
"AT1G04500",839510,"CCT motif family protein [Source:NCBI gene (formerly Entrezgene);Acc:839510]","AT1G04500"
"AT1G04510",839503,"MOS4-associated complex 3A [Source:NCBI gene (formerly Entrezgene);Acc:839503]","MAC3A"
"AT1G04520",839502,"plasmodesmata-located protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:839502]","PDLP2"
"AT1G04555",5007662,"transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:5007662]","AT1G04555"
"AT1G04630",839465,"GRIM-19 protein [Source:NCBI gene (formerly Entrezgene);Acc:839465]","MEE4"
"AT1G04635",839460,"ribonuclease P family protein / Rpp14 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839460]","EMB1687"
"AT1G04680",839452,"Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839452]","AT1G04680"
"AT1G04770",839418,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839418]","AT1G04770"
"AT1G04780",839414,"Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839414]","AT1G04780"
"AT1G04850",839399,"ubiquitin-associated (UBA)/TS-N domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839399]","AT1G04850"
"AT1G04860",839397,"ubiquitin-specific protease 2 [Source:NCBI gene (formerly Entrezgene);Acc:839397]","UBP2"
"AT1G04900",839386,"NADH dehydrogenase ubiquinone complex I, assembly factor-like protein (DUF185) [Source:NCBI gene (formerly Entrezgene);Acc:839386]","AT1G04900"
"AT1G04945",5007664,"HIT-type Zinc finger family protein [Source:NCBI gene (formerly Entrezgene);Acc:5007664]","AT1G04945"
"AT1G05055",839332,"ral transcription factor II H2 [Source:NCBI gene (formerly Entrezgene);Acc:839332]","GTF2H2"
"AT1G05250",838206,"Peroxidase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838206]","AT1G05250"
"AT1G05310",837030,"Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837030]","AT1G05310"
"AT1G05370",837038,"Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:837038]","AT1G05370"
"AT1G05410",837042,"CDPK adapter, putative (DUF1423) [Source:NCBI gene (formerly Entrezgene);Acc:837042]","AT1G05410"
"AT1G05430",837044,"","AT1G05430"
"AT1G05460",837047,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837047]","SDE3"
"AT1G05780",837086,"Vacuolar ATPase assembly integral membrane protein VMA21-like domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:837086]","AT1G05780"
"AT1G05870",837097,"","AT1G05870"
"AT1G06180",837127,"myb domain protein 13 [Source:NCBI gene (formerly Entrezgene);Acc:837127]","MYB13"
"AT1G06440",837156,"Ubiquitin carboxyl-terminal hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837156]","AT1G06440"
"AT1G06620",837171,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837171]","AT1G06620"
"AT1G06640",837173,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837173]","AT1G06640"
"AT1G06650",837175,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837175]","AT1G06650"
"AT1G06740",3766669,"MuDR family transposase [Source:NCBI gene (formerly Entrezgene);Acc:3766669]","MUG3"
"AT1G06930",837204,"TPRXL [Source:NCBI gene (formerly Entrezgene);Acc:837204]","AT1G06930"
"AT1G06950",837205,"translocon at the inner envelope membrane of chloroplasts 110 [Source:NCBI gene (formerly Entrezgene);Acc:837205]","TIC110"
"AT1G07050",837216,"CCT motif family protein [Source:NCBI gene (formerly Entrezgene);Acc:837216]","AT1G07050"
"AT1G07130",837223,"Nucleic acid-binding, OB-fold-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837223]","STN1"
"AT1G07210",837232,"Ribosomal protein S18 [Source:NCBI gene (formerly Entrezgene);Acc:837232]","AT1G07210"
"AT1G07310",837242,"Calcium-dependent lipid-binding (CaLB domain) family protein [Source:NCBI gene (formerly Entrezgene);Acc:837242]","AT1G07310"
"AT1G07530",837267,"SCARECROW-like 14 [Source:NCBI gene (formerly Entrezgene);Acc:837267]","SCL14"
"AT1G07550",837269,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837269]","AT1G07550"
"AT1G07590",837272,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837272]","AT1G07590"
"AT1G07830",837298,"ribosomal protein L29 family protein [Source:NCBI gene (formerly Entrezgene);Acc:837298]","AT1G07830"
"AT1G07900",837305,"LOB domain-containing protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:837305]","LBD1"
"AT1G07960",837311,"PDI-like 5-1 [Source:NCBI gene (formerly Entrezgene);Acc:837311]","PDIL5-1"
"AT1G07970",837312,"cytochrome B561, amino-terminal protein [Source:NCBI gene (formerly Entrezgene);Acc:837312]","AT1G07970"
"AT1G08010",837316,"GATA transcription factor 11 [Source:NCBI gene (formerly Entrezgene);Acc:837316]","GATA11"
"AT1G08070",837325,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837325]","OTP82"
"AT1G08130",837333,"DNA ligase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837333]","LIG1"
"AT1G08200",837341,"UDP-D-apiose/UDP-D-xylose synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:837341]","AXS2"
"AT1G08250",837345,"arogenate dehydratase 6 [Source:NCBI gene (formerly Entrezgene);Acc:837345]","ADT6"
"AT1G08320",837353,"bZIP transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:837353]","TGA9"
"AT1G08400",837360,"RINT-1 / TIP-1 family [Source:NCBI gene (formerly Entrezgene);Acc:837360]","AT1G08400"
"AT1G08410",837361,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837361]","AT1G08410"
"AT1G08460",837366,"histone deacetylase 8 [Source:NCBI gene (formerly Entrezgene);Acc:837366]","HDA08"
"AT1G08470",837368,"strictosidine synthase-like 3 [Source:NCBI gene (formerly Entrezgene);Acc:837368]","SSL3"
"AT1G08480",837369,"succinate dehydrogenase subunit [Source:NCBI gene (formerly Entrezgene);Acc:837369]","SDH6"
"AT1G08510",837372,"fatty acyl-ACP thioesterases B [Source:NCBI gene (formerly Entrezgene);Acc:837372]","FATB"
"AT1G08520",837374,"ALBINA 1 [Source:NCBI gene (formerly Entrezgene);Acc:837374]","ALB1"
"AT1G08530",837375,"chitinase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837375]","AT1G08530"
"AT1G08600",837382,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837382]","ATRX"
"AT1G08630",837385,"threonine aldolase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837385]","THA1"
"AT1G08650",837387,"phosphoenolpyruvate carboxylase kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837387]","PPCK1"
"AT1G08660",837388,"MALE GAMETOPHYTE DEFECTIVE 2 [Source:NCBI gene (formerly Entrezgene);Acc:837388]","MGP2"
"AT1G08780",837400,"ABI3-interacting protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:837400]","AIP3"
"AT1G08820",837404,"vamp/synaptobrevin-associated protein 27-2 [Source:NCBI gene (formerly Entrezgene);Acc:837404]","VAP27-2"
"AT1G08830",837405,"copper/zinc superoxide dismutase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837405]","CSD1"
"AT1G08880",837409,"Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837409]","H2AXA"
"AT1G08940",837415,"Phosphoglycerate mutase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837415]","AT1G08940"
"AT1G08970",837417,"nuclear factor Y, subunit C9 [Source:NCBI gene (formerly Entrezgene);Acc:837417]","NF-YC9"
"AT1G09000",837421,"NPK1-related protein kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:837421]","NP1"
"AT1G09010",837422,"glycoside hydrolase family 2 protein [Source:NCBI gene (formerly Entrezgene);Acc:837422]","AT1G09010"
"AT1G09020",837423,"sucrose nonfermenting-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837423]","SNF4"
"AT1G09070",837428,"soybean regulated by cold-2 [Source:NCBI gene (formerly Entrezgene);Acc:837428]","SRC2"
"AT1G09090",837430,"respiratory burst oxidase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837430]","RBOHB"
"AT1G09130",837432,"ATP-dependent caseinolytic (Clp) protease/crotonase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837432]","AT1G09130"
"AT1G09140",837433,"SERINE-ARGININE PROTEIN 30 [Source:NCBI gene (formerly Entrezgene);Acc:837433]","SR30"
"AT1G09150",837434,"pseudouridine synthase and archaeosine transglycosylase (PUA) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:837434]","AT1G09150"
"AT1G09160",837436,"Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:837436]","AT1G09160"
"AT1G09210",837441,"calreticulin 1b [Source:NCBI gene (formerly Entrezgene);Acc:837441]","CRT1b"
"AT1G09250",837446,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837446]","AT1G09250"
"AT1G09270",837448,"importin alpha  [Source:NCBI gene (formerly Entrezgene);Acc:837448]","IMPA-4"
"AT1G09280",837449,"rhodanese-like domain protein [Source:NCBI gene (formerly Entrezgene);Acc:837449]","AT1G09280"
"AT1G09320",837453,"at domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:837453]","AT1G09320"
"AT1G09340",837455,"chloroplast RNA binding protein [Source:NCBI gene (formerly Entrezgene);Acc:837455]","CRB"
"AT1G09610",837488,"glucuronoxylan 4-O-methyltransferase-like protein (DUF579) [Source:NCBI gene (formerly Entrezgene);Acc:837488]","GXM3"
"AT1G09630",837490,"RAB GTPase 11C [Source:NCBI gene (formerly Entrezgene);Acc:837490]","RAB11c"
"AT1G09640",837491,"Translation elongation factor EF1B, gamma chain [Source:NCBI gene (formerly Entrezgene);Acc:837491]","AT1G09640"
"AT1G09660",837494,"RNA-binding KH domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:837494]","AT1G09660"
"AT1G09800",837510,"Pseudouridine synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837510]","AT1G09800"
"AT1G09812",837512,"multidrug resistance protein [Source:NCBI gene (formerly Entrezgene);Acc:837512]","AT1G09812"
"AT1G09815",837513,"polymerase delta 4 [Source:NCBI gene (formerly Entrezgene);Acc:837513]","POLD4"
"AT1G09830",837515,"Glycinamide ribonucleotide (GAR) synthetase [Source:NCBI gene (formerly Entrezgene);Acc:837515]","PUR2"
"AT1G09840",837516,"shaggy-like protein kinase 41 [Source:NCBI gene (formerly Entrezgene);Acc:837516]","SK41"
"AT1G10095",837545,"Protein prenylyltransferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837545]","AT1G10095"
"AT1G10130",837550,"endoplasmic reticulum-type calcium-transporting ATPase 3 [Source:NCBI gene (formerly Entrezgene);Acc:837550]","ECA3"
"AT1G10150",837552,"Carbohydrate-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:837552]","AT1G10150"
"AT1G10200",837558,"GATA type zinc finger transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:837558]","WLIM1"
"AT1G10270",837566,"glutamine-rich protein 23 [Source:NCBI gene (formerly Entrezgene);Acc:837566]","GRP23"
"AT1G10290",837568,"dynamin-like protein 6 [Source:NCBI gene (formerly Entrezgene);Acc:837568]","ADL6"
"AT1G10310",837570,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837570]","AT1G10310"
"AT1G10380",837577,"Putative membrane lipoprotein [Source:NCBI gene (formerly Entrezgene);Acc:837577]","AT1G10380"
"AT1G10490",837589,"GNAT acetyltransferase (DUF699) [Source:NCBI gene (formerly Entrezgene);Acc:837589]","AT1G10490"
"AT1G10500",837590,"chloroplast-localized ISCA-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837590]","CPISCA"
"AT1G10560",837597,"plant U-box 18 [Source:NCBI gene (formerly Entrezgene);Acc:837597]","PUB18"
"AT1G10585",837600,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837600]","AT1G10585"
"AT1G10657",5007676,"transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:5007676]","AT1G10657"
"AT1G10700",837613,"phosphoribosyl pyrophosphate (PRPP) synthase 3 [Source:NCBI gene (formerly Entrezgene);Acc:837613]","PRS3"
"AT1G10710",837614,"poor homologous synapsis 1 [Source:NCBI gene (formerly Entrezgene);Acc:837614]","PHS1"
"AT1G10740",837617,"alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837617]","AT1G10740"
"AT1G10760",837619,"Pyruvate phosphate dikinase, PEP/pyruvate binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:837619]","SEX1"
"AT1G10780",837621,"F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837621]","AT1G10780"
"AT1G10870",837629,"ARF-GAP domain 4 [Source:NCBI gene (formerly Entrezgene);Acc:837629]","AGD4"
"AT1G10940",837637,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837637]","SNRK2.4"
"AT1G10950",837638,"transmembrane nine 1 [Source:NCBI gene (formerly Entrezgene);Acc:837638]","TMN1"
"AT1G11000",837643,"Seven transmembrane MLO family protein [Source:NCBI gene (formerly Entrezgene);Acc:837643]","MLO4"
"AT1G11050",837646,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837646]","AT1G11050"
"AT1G11290",837671,"Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837671]","CRR22"
"AT1G11400",837682,"partner of Y14-MAGO [Source:NCBI gene (formerly Entrezgene);Acc:837682]","PYM"
"AT1G11780",837723,"oxidoreductase, 2OG-Fe(II) oxygenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837723]","AT1G11780"
"AT1G12060",837758,"BCL-2-associated athano 5 [Source:NCBI gene (formerly Entrezgene);Acc:837758]","BAG5"
"AT1G12680",837824,"phosphoenolpyruvate carboxylase-related kinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:837824]","PEPKR2"
"AT1G12700",837825,"RNA processing FACTOR [Source:NCBI gene (formerly Entrezgene);Acc:837825]","RPF1"
"AT1G12740",837830,"cytochrome P450, family 87, subfamily A, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:837830]","CYP87A2"
"AT1G12910",837849,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837849]","ATAN11"
"AT1G12940",837852,"nitrate transporter2.5 [Source:NCBI gene (formerly Entrezgene);Acc:837852]","NRT2.5"
"AT1G12990",837857,"beta-1,4-N-acetylglucosaminyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837857]","AT1G12990"
"AT1G13030",837860,"sphere organelles protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:837860]","AT1G13030"
"AT1G13040",837861,"Pentatricopeptide repeat (PPR-like) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837861]","AT1G13040"
"AT1G13060",837863,"20S proteasome beta subunit E1 [Source:NCBI gene (formerly Entrezgene);Acc:837863]","PBE1"
"AT1G13110",837868,"cytochrome P450, family 71 subfamily B, polypeptide 7 [Source:NCBI gene (formerly Entrezgene);Acc:837868]","CYP71B7"
"AT1G13130",837870,"Cellulase (glycosyl hydrolase family 5) protein [Source:NCBI gene (formerly Entrezgene);Acc:837870]","AT1G13130"
"AT1G13160",837874,"ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837874]","AT1G13160"
"AT1G13180",837876,"Actin-like ATPase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837876]","DIS1"
"AT1G13440",837904,"glyceraldehyde-3-phosphate dehydrogenase C2 [Source:NCBI gene (formerly Entrezgene);Acc:837904]","GAPC2"
"AT1G13570",837918,"F-box/RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837918]","AT1G13570"
"AT1G13630",837924,"Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837924]","AT1G13630"
"AT1G13680",837929,"PLC-like phosphodiesterases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837929]","AT1G13680"
"AT1G13750",837935,"Purple acid phosphatases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837935]","AT1G13750"
"AT1G13960",837956,"WRKY DNA-binding protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:837956]","WRKY4"
"AT1G14020",837963,"O-fucosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:837963]","AT1G14020"
"AT1G14130",837972,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837972]","AT1G14130"
"AT1G14340",837995,"RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:837995]","AT1G14340"
"AT1G14450",838007,"NADH dehydrogenase (ubiquinone)s [Source:NCBI gene (formerly Entrezgene);Acc:838007]","AT1G14450"
"AT1G14470",838009,"Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838009]","AT1G14470"
"AT1G14510",838013,"alfin-like 7 [Source:NCBI gene (formerly Entrezgene);Acc:838013]","AL7"
"AT1G14650",838027,"SWAP (Suppressor-of-White-APricot)/surp domain-containing protein / ubiquitin family protein [Source:NCBI gene (formerly Entrezgene);Acc:838027]","AT1G14650"
"AT1G14710",838036,"hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:838036]","AT1G14710"
"AT1G14870",838052,"PLANT CADMIUM RESISTANCE 2 [Source:NCBI gene (formerly Entrezgene);Acc:838052]","PCR2"
"AT1G15030",838068,"","AT1G15030"
"AT1G15060",838071,"alpha/beta hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838071]","AT1G15060"
"AT1G15080",838072,"lipid phosphate phosphatase 2 [Source:NCBI gene (formerly Entrezgene);Acc:838072]","LPP2"
"AT1G15125",838076,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838076]","AT1G15125"
"AT1G15210",838087,"pleiotropic drug resistance 7 [Source:NCBI gene (formerly Entrezgene);Acc:838087]","ABCG35"
"AT1G15420",838113,"WD repeat protein [Source:NCBI gene (formerly Entrezgene);Acc:838113]","AT1G15420"
"AT1G15520",838122,"pleiotropic drug resistance 12 [Source:NCBI gene (formerly Entrezgene);Acc:838122]","ABCG40"
"AT1G15690",838138,"Inorganic H pyrophosphatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838138]","AVP1"
"AT1G15780",838147,"mediator of RNA polymerase II transcription subunit 15a-like protein [Source:NCBI gene (formerly Entrezgene);Acc:838147]","NRB4"
"AT1G15820",838151,"light harvesting complex photosystem II subunit 6 [Source:NCBI gene (formerly Entrezgene);Acc:838151]","LHCB6"
"AT1G15850",838155,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838155]","AT1G15850"
"AT1G16130",838182,"wall associated kinase-like 2 [Source:NCBI gene (formerly Entrezgene);Acc:838182]","WAKL2"
"AT1G16210",838189,"coiled-coil protein [Source:NCBI gene (formerly Entrezgene);Acc:838189]","AT1G16210"
"AT1G16250",838194,"Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838194]","AT1G16250"
"AT1G16280",838197,"RNA helicase 36 [Source:NCBI gene (formerly Entrezgene);Acc:838197]","RH36"
"AT1G16300",838199,"glyceraldehyde-3-phosphate dehydrogenase of plastid 2 [Source:NCBI gene (formerly Entrezgene);Acc:838199]","GAPCP-2"
"AT1G16490",838219,"myb domain protein 58 [Source:NCBI gene (formerly Entrezgene);Acc:838219]","MYB58"
"AT1G16710",838242,"histone acetyltransferase of the CBP family 12 [Source:NCBI gene (formerly Entrezgene);Acc:838242]","HAC12"
"AT1G17020",838272,"senescence-related 1 [Source:NCBI gene (formerly Entrezgene);Acc:838272]","SRG1"
"AT1G17100",838280,"SOUL heme-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:838280]","HBP1"
"AT1G17230",838294,"Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838294]","AT1G17230"
"AT1G17330",838304,"Metal-dependent phosphohydrolase [Source:NCBI gene (formerly Entrezgene);Acc:838304]","AT1G17330"
"AT1G17615",838338,"Disease resistance protein (TIR-NBS class) [Source:NCBI gene (formerly Entrezgene);Acc:838338]","AT1G17615"
"AT1G17630",838340,"Pentatricopeptide repeat (PPR-like) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838340]","AT1G17630"
"AT1G17720",838348,"Protein phosphatase 2A, regulatory subunit PR55 [Source:NCBI gene (formerly Entrezgene);Acc:838348]","ATB BETA"
"AT1G17840",838363,"white-brown complex-like protein [Source:NCBI gene (formerly Entrezgene);Acc:838363]","ABCG11"
"AT1G17850",838364,"Rhodanese/Cell cycle control phosphatase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838364]","AT1G17850"
"AT1G17880",838367,"basic transcription factor 3 [Source:NCBI gene (formerly Entrezgene);Acc:838367]","BTF3"
"AT1G17910",838370,"Wall-associated kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838370]","AT1G17910"
"AT1G18060",838386,"microbial collagenase [Source:NCBI gene (formerly Entrezgene);Acc:838386]","AT1G18060"
"AT1G18070",838387,"Translation elongation factor EF1A/initiation factor IF2gamma family protein [Source:NCBI gene (formerly Entrezgene);Acc:838387]","AT1G18070"
"AT1G18090",838389,"5'-3' exonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838389]","AT1G18090"
"AT1G18265",2745754,"zein-binding protein (Protein of unknown function, DUF593) [Source:NCBI gene (formerly Entrezgene);Acc:2745754]","AT1G18265"
"AT1G18310",838411,"glycosyl hydrolase family 81 protein [Source:NCBI gene (formerly Entrezgene);Acc:838411]","AT1G18310"
"AT1G18390",838420,"Serine/Threonine kinase family catalytic domain protein [Source:NCBI gene (formerly Entrezgene);Acc:838420]","AT1G18390"
"AT1G18410",838422,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838422]","AT1G18410"
"AT1G18440",838424,"Peptidyl-tRNA hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838424]","AT1G18440"
"AT1G18485",838429,"Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838429]","AT1G18485"
