"qseqid","sseqid","log2FoldChange","lfcSE","padj","function.","external_gene_name"
"104414204","AT1G60460",-2.4535079142893,0.413003770412099,9.4029020097263e-08,"","AT1G60460"
"104414207","AT1G60420",1.41129044992694,0.281508668395732,1.01458446057885e-05,"DC1 domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:842337]","AT1G60420"
"104414214","AT1G27170",1.18157201952384,0.461645697287183,0.0455369199635826,"transmembrane receptors / ATP binding protein [Source:NCBI gene (formerly Entrezgene);Acc:839606]","AT1G27170"
"104414226","AT1G23760",-1.02029939717037,0.271298690025754,0.00151437135885621,"BURP domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:838987]","JP630"
"104414235","AT3G28040",-1.43614120554332,0.31786567487799,8.76823353347267e-05,"Leucine-rich receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:822428]","AT3G28040"
"104414246","AT3G23890",-1.97074600653783,0.370257561072092,2.32740693291517e-06,"topoisomerase II [Source:NCBI gene (formerly Entrezgene);Acc:821972]","TOPII"
"104414249","AT3G23740",-1.59193771761392,0.541150882566171,0.0178536809361555,"","AT3G23740"
"104414251","AT4G15550",1.34344834033749,0.514100675701505,0.0402466851143437,"indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229]","IAGLU"
"104414252","AT4G15550",5.44388949890874,0.822683931334495,1.90193326468551e-09,"indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229]","IAGLU"
"104414255","AT4G15550",1.02054968152992,0.230746592525156,0.000129612265317482,"indole-3-acetate beta-D-glucosyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:827229]","IAGLU"
"104414279","AT3G23805",-1.38836415205573,0.242503904801658,3.01927228243348e-07,"ralf-like 24 [Source:NCBI gene (formerly Entrezgene);Acc:821963]","RALFL24"
"104414282","AT4G13930",-1.33881359975826,0.245820007793947,1.27847577609158e-06,"serine hydroxymethyltransferase 4 [Source:NCBI gene (formerly Entrezgene);Acc:827027]","SHM4"
"104414294","AT1G03670",1.01002461473034,0.290777820531064,0.0038467668176734,"ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839438]","AT1G03670"
"104414303","AT3G16210",1.58931087085984,0.21617020750848,1.68338896748546e-11,"F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:820867]","AT3G16210"
"104414311","AT3G23890",-1.60019723752793,0.331097118431343,2.26190150600499e-05,"topoisomerase II [Source:NCBI gene (formerly Entrezgene);Acc:821972]","TOPII"
"104414336","AT3G24130",-2.21575794574161,0.751958400001387,0.0176389653863369,"Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821999]","AT3G24130"
"104414362","AT5G13930",-1.03221731943214,0.30280898363256,0.00471125601757239,"Chalcone and stilbene synthase family protein [Source:NCBI gene (formerly Entrezgene);Acc:831241]","TT4"
"104414371","AT4G23160",-1.34920383169189,0.316014178282398,0.000238272217890896,"cysteine-rich RECEPTOR-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:828415]","CRK8"
"104414381","AT1G61810",-2.34314061566823,0.472156156453353,1.27506707591127e-05,"beta-glucosidase 45 [Source:NCBI gene (formerly Entrezgene);Acc:842478]","BGLU45"
"104414384","AT1G04680",-2.99429172180623,0.462920120510875,4.70136141270003e-09,"Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839452]","AT1G04680"
"104414394","AT4G13550",1.03670715193975,0.236553125870071,0.000151827580508604,"putative triglyceride lipase [Source:NCBI gene (formerly Entrezgene);Acc:826988]","AT4G13550"
"104414409","AT3G24310",3.91431123288905,1.50309288726738,0.0410810258893377,"myb domain protein 305 [Source:NCBI gene (formerly Entrezgene);Acc:822019]","MYB305"
"104414437","AT1G04040",-1.98623058358162,0.307250779949147,4.7870250654302e-09,"HAD superfamily, subfamily IIIB acid phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:839325]","AT1G04040"
"104414444","AT3G23470",-3.1086330885424,1.13590504835539,0.0299345078442005,"Cyclopropane-fatty-acyl-phospholipid synthase [Source:NCBI gene (formerly Entrezgene);Acc:821928]","AT3G23470"
"104414468","AT3G23410",-1.45994929089412,0.202513965380873,4.38945154331586e-11,"fatty alcohol oxidase 3 [Source:NCBI gene (formerly Entrezgene);Acc:821922]","FAO3"
"104414469","AT4G14310",-1.75970756272186,0.204648806855503,1.80606817771056e-15,"Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827072]","AT4G14310"
"104414470","AT4G14330",-1.88566988699745,0.256813775530819,1.79184821879273e-11,"P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827075]","AT4G14330"
"104414524","AT5G43420",-1.24888284880731,0.234897126323112,2.39717551280717e-06,"RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:834362]","AT5G43420"
"104414525","AT5G13670",-2.53287884310541,0.472848284645964,1.9837536999654e-06,"nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:831212]","UMAMIT15"
"104414532","AT1G06650",1.16703933736986,0.266371469631647,0.000152531970602377,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837175]","AT1G06650"
"104414536","AT1G06640",1.37984768856479,0.377737330127102,0.00217736997519618,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837173]","AT1G06640"
"104414569","AT3G23090",-1.37504263426872,0.187333322186111,1.81425738128742e-11,"TPX2 (targeting protein for Xklp2) protein family [Source:NCBI gene (formerly Entrezgene);Acc:821884]","AT3G23090"
"104414577","AT3G01680",-1.29225118903573,0.366559325704172,0.00327225182552451,"sieve element occlusion amino-terminus protein [Source:NCBI gene (formerly Entrezgene);Acc:821097]","SEOR1"
"104414594","AT3G10310",-1.78577217120546,0.357767801026651,1.11854073478017e-05,"P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:820193]","AT3G10310"
"104414650","AT1G09160",-1.24997773093527,0.173017755933307,3.96245855188182e-11,"Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:837436]","AT1G09160"
"104414653","AT5G27000",-1.7454499556142,0.323259012312357,1.60882530323603e-06,"kinesin 4 [Source:NCBI gene (formerly Entrezgene);Acc:832758]","ATK4"
"104414665","AT1G09210",-1.5296990746487,0.223802642404458,5.1315690153985e-10,"calreticulin 1b [Source:NCBI gene (formerly Entrezgene);Acc:837441]","CRT1b"
"104414666","AT1G15690",1.27469220860824,0.338607356967595,0.00149391728221976,"Inorganic H pyrophosphatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838138]","AVP1"
"104414674","AT1G18610",-1.01656827280498,0.316049200239676,0.00835849418776903,"Galactose oxidase/kelch repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838442]","AT1G18610"
"104414700","AT5G06860",2.67680009209626,0.735942358964753,0.00229384477666182,"polygalacturonase inhibiting protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:830577]","PGIP1"
"104414703","AT5G66430",-2.39434756610985,0.406789339245479,1.26609723961716e-07,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836775]","AT5G66430"
"104414709","AT3G01970",1.48882059056897,0.406705233308011,0.00212322781986524,"WRKY DNA-binding protein 45 [Source:NCBI gene (formerly Entrezgene);Acc:821270]","WRKY45"
"104414713","AT2G47610",1.11944870071166,0.256691119538361,0.000165780681244223,"Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein [Source:NCBI gene (formerly Entrezgene);Acc:819374]","AT2G47610"
"104414716","AT5G41050",-1.85880159620576,0.370150908647906,9.75635697960692e-06,"Pollen Ole e 1 allergen and extensin family protein [Source:NCBI gene (formerly Entrezgene);Acc:834107]","AT5G41050"
"104414754","AT3G22830",1.16905495610881,0.425484562747766,0.0291582591896227,"heat shock transcription factor A6B [Source:NCBI gene (formerly Entrezgene);Acc:821854]","HSFA6B"
"104414755","AT2G26400",8.84714493613851,1.71040133335875,4.78761643724841e-06,"acireductone dioxygenase 3 [Source:NCBI gene (formerly Entrezgene);Acc:817180]","ARD3"
"104414765","AT3G22790",-1.39460175248597,0.377110571951198,0.00187945697970784,"Kinase interacting (KIP1-like) family protein [Source:NCBI gene (formerly Entrezgene);Acc:821850]","NET1A"
"104414777","AT3G22600",5.16853426037122,1.8305591980237,0.0241451160125395,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821832]","AT3G22600"
"104414797","AT3G22490",7.71552273389026,2.73525846487841,0.0243060420881188,"Seed maturation protein [Source:NCBI gene (formerly Entrezgene);Acc:821820]","AT3G22490"
"104414803","AT4G03500",-1.24371656162285,0.317104304532801,0.000869404713583212,"Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:827731]","AT4G03500"
"104414821","AT4G14930",1.21190107386512,0.273296950581086,0.000123783746518245,"Survival protein SurE-like phosphatase/nucleotidase [Source:NCBI gene (formerly Entrezgene);Acc:827151]","AT4G14930"
"104414842","AT1G05370",-3.19615981254608,0.323827957886603,2.64322197430091e-20,"Sec14p-like phosphatidylinositol transfer family protein [Source:NCBI gene (formerly Entrezgene);Acc:837038]","AT1G05370"
"104414844","AT2G32120",2.66212135882786,0.35441306758853,5.65517095051263e-12,"heat-shock protein 70T-2 [Source:NCBI gene (formerly Entrezgene);Acc:817771]","HSP70T-2"
"104414850","AT5G19530",-1.92840187987769,0.338562154790908,3.51659822772161e-07,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832073]","ACL5"
"104414857","AT5G26330",-1.70560070197244,0.215969994756425,3.55583119306921e-13,"Cupredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832702]","AT5G26330"
"104414867","AT1G47480",-1.35535056220155,0.274535305780009,1.43399246048107e-05,"alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841155]","AT1G47480"
"104414868","AT1G47480",-1.61273286776725,0.298713432533924,1.61272193344565e-06,"alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841155]","AT1G47480"
"104414878","AT5G19160",-1.58612807428794,0.629807895501507,0.0497836568867694,"TRICHOME BIREFRINGENCE-LIKE 11 [Source:NCBI gene (formerly Entrezgene);Acc:832036]","TBL11"
"104414885","AT1G03220",2.2090299025621,0.821621979998759,0.0336145700484595,"Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838517]","AT1G03220"
"104414892","AT5G27690",1.8981447777766,0.424454112593483,0.000106222774514963,"Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832831]","AT5G27690"
"104414895","AT3G06130",2.35888201366686,0.426341641531284,8.26291105803424e-07,"Heavy metal transport/detoxification superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819786]","AT3G06130"
"104414896","AT3G06145",-1.53666392464414,0.181812454595009,5.65457703286304e-15,"RING zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:819788]","AT3G06145"
"104414933","AT5G18930",-1.75511643333122,0.453015756907896,0.00102634870528853,"Adenosylmethionine decarboxylase family protein [Source:NCBI gene (formerly Entrezgene);Acc:832011]","BUD2"
"104414937","AT4G15530",-1.49061240143786,0.461069636457698,0.00796982849958316,"pyruvate orthophosphate dikinase [Source:NCBI gene (formerly Entrezgene);Acc:827226]","PPDK"
"104414949","AT5G39340",-1.36059811642578,0.468180124818096,0.0195816154306675,"histidine-containing phosphotransmitter 3 [Source:NCBI gene (formerly Entrezgene);Acc:833930]","AHP3"
"104414950","AT5G18860",1.57799321309052,0.510154157591004,0.0118491116471777,"inosine-uridine preferring nucleoside hydrolase family protein [Source:NCBI gene (formerly Entrezgene);Acc:832004]","NSH3"
"104414952","AT5G18840",2.48707338664922,0.782076484871317,0.00927348431190686,"Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832002]","AT5G18840"
"104414988","AT5G18700",-1.79051331520922,0.368022995382437,1.96356081615432e-05,"kinase family with ARM repeat domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:831988]","AT5G18700"
"104415032","AT1G08820",-1.24331284267196,0.199023504906085,1.68596942140005e-08,"vamp/synaptobrevin-associated protein 27-2 [Source:NCBI gene (formerly Entrezgene);Acc:837404]","VAP27-2"
"104415036","AT5G18670",1.4613769277453,0.29847811249106,1.71448049158542e-05,"beta-amylase 3 [Source:NCBI gene (formerly Entrezgene);Acc:831985]","BMY3"
"104415038","AT4G15563",1.00631486146542,0.239692599553226,0.000313475166852193,"F-box-like protein [Source:NCBI gene (formerly Entrezgene);Acc:827231]","AT4G15563"
"104415079","AT5G06360",-1.50522527939149,0.492051624844653,0.0130166216921279,"Ribosomal protein S8e family protein [Source:NCBI gene (formerly Entrezgene);Acc:830524]","AT5G06360"
"104415098","AT4G11650",6.85720973004864,0.418527711833564,1.16786105424527e-56,"osmotin 34 [Source:NCBI gene (formerly Entrezgene);Acc:826770]","OSM34"
"104415118","AT3G21420",2.32655846411966,0.887047072287318,0.0393349203713346,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821696]","LBO1"
"104415142","AT4G15830",-1.81199556316278,0.232720836080075,8.05621496161077e-13,"ARM repeat superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:827264]","AT4G15830"
"104415145","AT5G54160",1.72252636764158,0.507461430887868,0.00493363821057543,"O-methyltransferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:835504]","OMT1"
"104415154","AT3G62830",2.50360516515973,0.562204542255989,0.000114554734843614,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:825458]","AUD1"
"104415163","AT5G49120",1.71852204927047,0.376126632825885,7.06979362379042e-05,"DUF581 family protein, putative (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:834971]","AT5G49120"
"104415170","AT3G06840",-1.73774206810389,0.377453089369688,6.12709737642443e-05,"","AT3G06840"
"104415172","AT3G16730",-1.14399230069729,0.242154159054969,3.65768615843444e-05,"condensin-2 complex subunit H2-like protein [Source:NCBI gene (formerly Entrezgene);Acc:820925]","HEB2"
"104415175","AT3G16770",2.40910708296575,0.415769953557659,2.07019549488889e-07,"ethylene-responsive element binding protein [Source:NCBI gene (formerly Entrezgene);Acc:820929]","EBP"
"104415214","AT4G16120",-2.27940116879934,0.437015631965599,3.90004306731007e-06,"COBRA-like protein-7 [Source:NCBI gene (formerly Entrezgene);Acc:827298]","COBL7"
"104415224","AT3G16920",-1.65129198147744,0.21934893083253,5.0776281235933e-12,"chitinase-like protein [Source:NCBI gene (formerly Entrezgene);Acc:820947]","CTL2"
"104415230","AT3G62420",2.37021813489145,0.484195948243612,1.72154747731349e-05,"basic region/leucine zipper motif 53 [Source:NCBI gene (formerly Entrezgene);Acc:825415]","BZIP53"
"104415231","AT3G17030",-1.68814299310297,0.467092178807517,0.00247106450886011,"Nucleic acid-binding proteins superfamily [Source:NCBI gene (formerly Entrezgene);Acc:820959]","AT3G17030"
"104415233","AT1G22900",-2.40040295659135,0.928254120136827,0.0429061196775117,"Disease resistance-responsive (dirigent-like protein) family protein [Source:NCBI gene (formerly Entrezgene);Acc:838897]","AT1G22900"
"104415234","AT3G06650",-1.30746326680574,0.22016543213528,9.49033165300704e-08,"ATP-citrate lyase B-1 [Source:NCBI gene (formerly Entrezgene);Acc:819845]","ACLB-1"
"104415262","AT5G49620",1.45554185965182,0.455492137964032,0.00887630126451721,"myb domain protein 78 [Source:NCBI gene (formerly Entrezgene);Acc:835024]","MYB78"
"104415271","AT1G48100",-1.83046684583678,0.416118275376128,0.000142525693814057,"Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841228]","AT1G48100"
"104415284","AT3G17360",-2.09264438420444,0.375304134479677,6.63826202048104e-07,"phragmoplast orienting kinesin 1 [Source:NCBI gene (formerly Entrezgene);Acc:820999]","POK1"
"104415291","AT1G56720",-1.23255565214144,0.190290881934282,4.45333194072718e-09,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:842128]","AT1G56720"
"104415313","AT3G17600",-1.62659695416188,0.326429255263938,1.16301211924269e-05,"indole-3-acetic acid inducible 31 [Source:NCBI gene (formerly Entrezgene);Acc:821026]","IAA31"
"104415341","AT3G05950",2.43357330424556,0.831981927064992,0.0186399757516693,"RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:819765]","AT3G05950"
"104415342","AT5G39160",2.66177834004361,0.884765143065745,0.0149172787247259,"RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:833910]","AT5G39160"
"104415360","AT5G44040",-2.20913949315199,0.301198656622298,1.88596315104786e-11,"eisosome SEG2-like protein [Source:NCBI gene (formerly Entrezgene);Acc:834427]","AT5G44040"
"104415388","AT5G16360",1.17689407709046,0.344460049995062,0.00460438013840357,"NC domain-containing protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831497]","AT5G16360"
"104415389","AT5G16360",-1.54204724087224,0.501427675900667,0.0124501107184113,"NC domain-containing protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:831497]","AT5G16360"
"104415416","AT2G17220",-2.34699663313449,0.583184232305783,0.00059973249678363,"Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816227]","Kin3"
"104415425","AT1G47530",-1.29553989463484,0.211833231352163,3.54736814075736e-08,"MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:841162]","AT1G47530"
"104415433","AT5G28840",-1.49439798583615,0.344248959985513,0.000179284018752104,"GDP-D-mannose 3',5'-epimerase [Source:NCBI gene (formerly Entrezgene);Acc:833002]","GME"
"104415461","AT3G04810",-1.44360733153362,0.346855055106061,0.000359983094018022,"NIMA-related kinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:819641]","NEK2"
"104415462","AT5G28300",1.00969953329077,0.249804037372149,0.000563348426067931,"Duplicated homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:832914]","AT5G28300"
"104415469","AT4G14880",1.20164225692306,0.457093664553453,0.0388321047869313,"O-acetylserine (thiol) lyase (OAS-TL)  [Source:NCBI gene (formerly Entrezgene);Acc:827145]","OASA1"
"104415471","AT3G22560",1.45540489845836,0.563545340814028,0.0432161646447474,"Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:821828]","AT3G22560"
"104415474","AT2G43750",1.32138191222267,0.312155467321031,0.000274676383428218,"O-acetylserine (thiol) lyase B [Source:NCBI gene (formerly Entrezgene);Acc:818978]","OASB"
"104415497","AT4G08630",-1.13313541324383,0.341685779047044,0.00623524254333294,"fas-binding factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:826428]","AT4G08630"
"104415502","AT3G06350",-2.2066089789251,0.294027914187763,5.92685560679341e-12,"dehydroquinate dehydratase, putative / shikimate dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:819809]","MEE32"
"104415503","AT3G06350",-1.54661411215554,0.231789642014108,1.3663142960882e-09,"dehydroquinate dehydratase, putative / shikimate dehydrogenase [Source:NCBI gene (formerly Entrezgene);Acc:819809]","MEE32"
"104415531","AT1G54790",-1.36377307850712,0.234870587364361,1.9419924708569e-07,"GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:841920]","AT1G54790"
"104415534","AT1G72210",-1.03631452981436,0.183108329014008,4.2693339673408e-07,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:843553]","AT1G72210"
"104415541","AT1G08970",-1.06769722385479,0.233601262507962,7.03058275616296e-05,"nuclear factor Y, subunit C9 [Source:NCBI gene (formerly Entrezgene);Acc:837417]","NF-YC9"
"104415544","AT5G64330",4.649719951231,1.08813044390434,0.00023565979309951,"Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:836554]","NPH3"
"104415564","AT3G22400",1.30780890948527,0.437658765572341,0.015755827056313,"PLAT/LH2 domain-containing lipoxygenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:821808]","LOX5"
"104415568","AT2G45680",1.79352735209537,0.420207989157647,0.000239380273782517,"TCP family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:819176]","TCP9"
"104415570","AT5G27670",-1.58387288410891,0.281099897659165,4.87937205197539e-07,"histone H2A 7 [Source:NCBI gene (formerly Entrezgene);Acc:832829]","HTA7"
"104415607","AT5G03980",-1.10095693982762,0.25527914449223,0.000201846623027532,"SGNH hydrolase-type esterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830277]","AT5G03980"
"104415636","AT5G51550",-1.94443330493825,0.338851216312273,2.81667458468218e-07,"EXORDIUM like 3 [Source:NCBI gene (formerly Entrezgene);Acc:835229]","EXL3"
"104415653","AT5G14070",-2.47626314682132,0.496450375920105,1.13593261290389e-05,"Thioredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:831256]","ROXY2"
"104415654","AT5G13140",-1.58142147696853,0.293882616291519,1.76108953916152e-06,"Pollen Ole e 1 allergen and extensin family protein [Source:NCBI gene (formerly Entrezgene);Acc:831153]","AT5G13140"
"104415662","AT1G67320",-2.16094625010993,0.49652539588962,0.000171638083196071,"DNA primase, large subunit family [Source:NCBI gene (formerly Entrezgene);Acc:843052]","EMB2813"
"104415688","AT1G67980",-1.11534018549528,0.319457167847978,0.00363946370766241,"caffeoyl-CoA 3-O-methyltransferase [Source:NCBI gene (formerly Entrezgene);Acc:843126]","CCOAMT"
"104415695","AT1G67510",-1.23580515454517,0.335967112970103,0.00200425705708605,"Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:843072]","AT1G67510"
"104415707","AT1G24360",-1.56186522315508,0.390198360499661,0.000649546300444458,"NAD(P)-binding Rossmann-fold superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839053]","AT1G24360"
"104415724","AT4G27670",3.21176579317535,0.44601040269514,4.60496505000414e-11,"heat shock protein 21 [Source:NCBI gene (formerly Entrezgene);Acc:828881]","HSP21"
"104415738","AT5G10520",-1.23201746997362,0.346675578415748,0.00299200914525164,"ROP binding protein kinases 1 [Source:NCBI gene (formerly Entrezgene);Acc:830917]","RBK1"
"104415751","AT5G65380",7.85760083085988,1.29577093639352,4.75411819816075e-08,"MATE efflux family protein [Source:NCBI gene (formerly Entrezgene);Acc:836663]","AT5G65380"
"104415752","AT4G40080",1.29537240306907,0.295338820951529,0.000150028190449334,"ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830171]","AT4G40080"
"104415764","AT2G22420",1.30044072518825,0.380722979200877,0.00461473724124745,"Peroxidase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:816773]","AT2G22420"
"104415769","AT5G10310",-2.41985471994274,0.66517344493057,0.00228839428829117,"EPIDERMAL PATTERNING FACTOR-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830895]","AT5G10310"
"104415771","AT4G39970",-1.47832574745093,0.268510579318375,9.47828251010663e-07,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830158]","AT4G39970"
"104415774","AT1G22360",1.8505570350453,0.439940966788566,0.000304344608101162,"UDP-glucosyl transferase 85A2 [Source:NCBI gene (formerly Entrezgene);Acc:838843]","UGT85A2"
"104415785","AT4G39900",-1.71410762663699,0.21917319784474,6.27643814768995e-13,"adenine deaminase [Source:NCBI gene (formerly Entrezgene);Acc:830149]","AT4G39900"
"104415791","AT1G35720",-1.69928045755892,0.218917890172203,9.49861539972172e-13,"annexin 1 [Source:NCBI gene (formerly Entrezgene);Acc:840476]","ANNAT1"
"104415792","AT5G10220",-1.42073122209968,0.202967998779004,1.79953482955459e-10,"annexin 6 [Source:NCBI gene (formerly Entrezgene);Acc:830886]","ANN6"
"104415800","AT5G10190",-1.13994238295953,0.232232473476703,1.62566598673004e-05,"Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830883]","AT5G10190"
"104415807","AT5G10110",-1.74650886334398,0.27406977037429,8.22544668694259e-09,"DNA-directed RNA polymerase subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:830875]","AT5G10110"
"104415811","AT1G78020",-1.36449704940511,0.220209644120829,2.23983659994503e-08,"senescence-associated family protein, putative (DUF581) [Source:NCBI gene (formerly Entrezgene);Acc:844137]","AT1G78020"
"104415812","AT2G22240",2.71754129315752,0.797757110958237,0.00474678996867268,"myo-inositol-1-phosphate synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:816757]","MIPS2"
"104415850","AT2G21790",-1.17180680710983,0.255902407644312,6.79188663450806e-05,"ribonucleotide reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:816715]","RNR1"
"104415855","AT5G65360",-2.95750927540249,0.299260480090383,2.36594177665502e-20,"Histone superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:836661]","AT5G65360"
