qseqid	sseqid	pident	length	mismatch	evalue	bitscore
104414090	AT2G22670	45.614	342	87	5.98e-72	208
104414091	AT5G10560	61.856	194	68	1.02e-69	252
104414096	AT2G39050	75	76	19	3.44e-31	126
104414097	AT4G38030	58.75	80	32	9.05e-44	93.6
104414101	AT4G37980	68.75	144	45	8.2e-79	179
104414103	AT4G37980	68.75	144	45	1.19e-79	179
104414104	AT4G38020	67.626	139	44	7.95e-52	186
104414105	AT4G38040	91.753	97	8	2.32e-52	191
104414106	AT5G65560	50.348	862	412	0	899
104414107	AT5G18260	35.656	244	125	7.35e-35	136
104414112	AT2G22590	54.881	461	201	1.26e-179	515
104414113	AT5G65540	48.718	273	127	1.31e-67	241
104414114	AT1G67750	75.908	303	37	2.76e-161	470
104414115	AT1G13180	82.468	154	26	2.17e-80	273
104414116	AT3G26115	63.636	121	36	1.65e-40	152
104414117	AT5G56340	31.724	290	143	7.49e-30	119
104414118	AT1G13160	62.281	114	43	3.29e-36	150
104414120	AT1G24530	61.631	331	112	1.75e-123	367
104414121	AT1G24560	59.361	438	163	2.4e-153	485
104414122	AT3G49601	61.905	126	40	1.49e-34	142
104414123	AT4G24740	57.576	99	10	2.57e-62	115
104414124	AT3G26350	51.282	195	94	2.59e-50	175
104414125	AT1G13040	55.599	509	225	0	585
104414127	AT1G13030	45.238	84	43	5.75e-14	78.2
104414128	AT3G26370	95.522	67	3	3.28e-75	141
104414129	AT1G67810	39.216	255	90	5.17e-43	155
104414130	AT3G26380	64.167	120	25	1.95e-39	154
104414132	AT1G67850	52.041	98	17	1.92e-83	97.4
104414133	AT1G24580	38.889	144	67	2.84e-15	72
104414134	AT1G54140	80.682	88	17	1.2e-42	154
104414135	AT3G63540	80	140	28	1.6e-75	242
104414136	AT1G12990	79.467	375	77	0	619
104414137	AT1G67900	74.825	429	93	7.24e-177	547
104414140	AT1G59960	73.81	84	22	1.32e-53	139
104414141	AT3G26570	69.853	408	65	4.34e-160	504
104414143	AT3G26600	58.401	613	244	0	640
104414145	AT5G55690	45	80	43	1.55e-15	73.9
104414148	AT1G70590	71.545	123	35	1.42e-52	191
104414151	AT5G41020	58.333	312	128	3.21e-125	389
104414152	AT1G10700	64.921	191	16	5.9e-70	238
104414153	AT1G70570	79.755	163	33	1.44e-100	280
104414154	AT1G23320	68.75	96	29	3.62e-36	143
104414155	AT1G10740	80.952	147	28	2.08e-78	265
104414156	AT1G60770	66.933	375	123	2.28e-168	501
104414157	AT1G23340	82.54	126	22	5.94e-67	233
104414158	AT1G17100	31.25	224	105	2.38e-24	97.8
104414159	AT2G27140	36.145	83	53	4.38e-08	54.7
104414162	AT1G10760	68.376	117	14	2.7e-40	167
104414163	AT1G70540	33.028	109	73	2.65e-11	62.4
104414164	AT1G12940	72.093	387	103	9.88e-177	519
104414166	AT1G23360	40.909	88	14	7.24e-20	60.5
104414167	AT1G70520	88.732	71	8	1.75e-83	138
104414168	AT3G17675	38.806	67	39	9.19e-08	52.4
104414169	AT1G70510	81.081	37	7	4.33e-21	65.9
104414170	AT1G78280	67.005	197	62	1.1e-83	262
104414171	AT1G47578	67.742	93	30	1.72e-40	152
104414172	AT1G60800	85.256	156	19	1.56e-76	266
104414173	AT1G23390	37.465	355	200	3.84e-61	202
104414174	AT2G18770	82.54	63	11	4.31e-18	85.9
104414175	AT1G23440	65.934	91	31	3.07e-32	125
104414177	AT1G23440	72.152	79	22	1.19e-31	124
104414178	AT1G23460	48.619	181	56	5.08e-42	160
104414180	AT1G15520	47.112	329	90	3.03e-145	288
104414183	AT1G77290	61.137	211	65	2.65e-79	260
104414187	AT1G15210	68.31	142	14	1.84e-140	187
104414189	AT1G15520	60.227	176	35	1.05e-104	166
104414191	AT1G60550	45.806	155	38	1.41e-28	119
104414192	AT1G60490	66	150	24	3.95e-40	164
104414194	AT2G29420	60.417	96	38	1.43e-32	127
104414195	AT2G29490	57.282	103	44	2.04e-38	138
104414196	AT2G29420	63.107	103	38	6.5e-39	141
104414197	AT2G29420	57.426	101	43	1.17e-37	136
104414198	AT5G09360	45.597	318	159	1.45e-78	271
104414200	AT5G36930	38.77	374	222	1.04e-61	234
104414202	AT2G36430	34.635	384	234	8.21e-68	236
104414203	AT1G60470	79.091	110	21	2.93e-90	180
104414204	AT1G60460	53.247	77	35	7.15e-16	81.6
104414205	AT1G70480	46.218	238	63	8.56e-52	186
104414207	AT1G60420	64.238	151	54	3.27e-59	214
104414208	AT4G05320	100	457	0	0	902
104414210	AT1G60420	55.592	304	100	4.19e-89	293
104414212	AT1G60420	64.417	163	58	2.76e-103	219
104414213	AT5G36930	37.255	102	63	0.001	44.3
104414214	AT1G27170	30.33	333	158	5.62e-34	85.5
104414216	AT1G16300	57.143	91	20	1.3e-33	96.7
104414222	AT2G30520	67.339	248	78	8.28e-157	355
104414223	AT1G23740	80.645	93	18	2.92e-41	157
104414224	AT1G23750	77.778	63	14	2.29e-26	105
104414225	AT5G04190	33.742	163	70	5.86e-12	68.9
104414226	AT1G23760	63.575	593	208	0	776
104414227	AT1G55205	48.077	52	27	5.26e-06	47
104414228	AT1G60220	77.778	36	8	1.41e-13	62.8
104414229	AT5G33280	77.778	27	6	3.99e-06	50.8
104414230	AT1G10560	43.832	689	365	1.64e-163	494
104414231	AT1G60170	70.161	372	80	4.29e-135	432
104414232	AT3G56880	41.27	126	64	4.22e-11	63.2
104414233	AT2G43070	60	65	26	5.99e-17	89
104414234	AT2G31660	58.537	246	30	1.77e-74	273
104414235	AT3G28040	60.684	1053	358	0	1154
104414237	AT1G23820	92.537	67	5	7.52e-50	140
104414239	AT5G12890	43.673	245	107	2.89e-94	201
104414240	AT3G23700	68.519	54	17	1.25e-16	85.5
104414241	AT4G14210	59.873	157	32	3.82e-48	183
104414242	AT3G07340	45.395	152	14	1.61e-27	108
104414243	AT3G25230	86.207	87	12	1.64e-143	161
104414245	AT4G14200	38.217	157	74	1.06e-18	93.6
104414246	AT3G23890	59.159	333	55	0	355
104414247	AT3G23730	74.615	130	32	1.65e-62	211
104414249	AT3G23740	62.5	64	24	2.21e-19	94.7
104414250	AT5G36930	35.505	307	156	1.12e-31	130
104414251	AT4G15550	50.602	415	171	1.07e-133	405
104414252	AT4G15550	51.25	480	194	7.56e-160	465
104414253	AT4G15550	48.861	483	203	2.13e-141	417
104414254	AT4G15550	49.061	479	201	2.44e-141	417
104414255	AT4G15550	41.201	483	229	4.61e-123	367
104414256	AT4G15550	49.686	477	201	6.29e-145	429
104414257	AT4G15550	46.281	484	220	9.14e-130	389
104414258	AT2G40930	90.323	62	6	4.64e-51	125
104414259	AT3G23750	63.333	720	248	0	748
104414261	AT4G14030	60	155	22	1.24e-51	190
104414262	AT3G23790	60.784	51	19	1.63e-18	63.2
104414265	AT3G23750	70.721	222	55	2.04e-90	318
104414267	AT3G10260	72.581	62	17	2.34e-42	99.8
104414268	AT3G06240	29.94	334	176	1.67e-28	116
104414269	AT4G14010	49.383	81	34	2.98e-18	79
104414271	AT4G16265	78.182	55	12	1.62e-24	100
104414273	AT4G13990	61.321	424	161	0	568
104414276	AT4G28590	63.889	144	41	1.64e-46	172
104414278	AT4G13980	47.733	419	175	2.48e-95	318
104414279	AT3G23805	48.718	117	50	5.5e-25	98.6
104414280	AT1G04635	66.667	48	16	7.79e-15	72.8
104414281	AT4G13940	90	250	25	3.73e-148	443
104414282	AT4G13930	87.446	231	29	1.88e-145	438
104414283	AT4G13870	37.313	134	49	4.54e-20	93.6
104414284	AT3G23820	80.931	451	78	0	746
104414285	AT3G45070	45.625	320	173	1.66e-107	320
104414287	AT4G13840	38.832	291	162	1.12e-49	184
104414289	AT4G13830	64.167	120	38	2.03e-41	149
104414290	AT3G23900	77.778	90	19	1.08e-36	153
104414294	AT1G03670	30.46	174	117	2.95e-20	97.4
104414295	AT4G03490	34.94	166	105	3.06e-22	103
104414302	AT3G25070	53.846	52	24	1.17e-08	57.8
104414303	AT3G16210	28.185	259	164	2.94e-23	103
104414304	AT5G58420	89.583	144	15	1.29e-75	233
104414305	AT2G31740	54.819	166	56	2.21e-41	167
104414306	AT4G13750	55.762	755	327	0	821
104414308	AT3G06240	26.847	406	240	7.06e-32	132
104414310	AT1G65430	74.603	63	16	1.18e-23	107
104414311	AT3G23890	59.327	327	49	0	374
104414312	AT4G13750	40.956	586	297	3.84e-115	414
104414315	AT4G13750	44.444	270	121	1.14e-55	218
104414319	AT4G14147	100	35	0	1.04e-13	71.6
104414320	AT4G13730	60	60	24	6.4e-26	80.1
104414321	AT1G04850	74.194	62	16	3.68e-24	107
104414322	AT2G18510	53.191	94	20	3.73e-19	92.4
104414323	AT2G32760	55.714	70	31	2.48e-14	77.4
104414324	AT3G07130	73.684	114	29	8.47e-50	187
104414325	AT1G04860	47.925	530	242	3.23e-114	389
104414326	AT1G28110	70.909	55	16	3.76e-18	89.4
104414327	AT3G07130	61.053	95	29	9.59e-57	121
104414328	AT3G51010	75.61	41	10	4.02e-12	67
104414330	AT2G06010	55.901	161	31	9.94e-52	180
104414331	AT3G49250	53.266	199	66	1.15e-59	212
104414332	AT4G13620	47.248	218	75	1.87e-34	134
104414333	AT3G24110	54.839	62	28	1.63e-26	72.8
104414334	AT1G04900	89.362	47	5	1.35e-18	92.4
104414336	AT3G24130	62.651	83	31	1.32e-28	119
104414337	AT3G07110	91.209	91	8	1.36e-51	179
104414338	AT4G13700	72.566	113	31	1.81e-51	188
104414342	AT1G28110	50.442	113	44	1.67e-41	121
104414347	AT3G50170	36.131	274	141	5.06e-60	147
104414350	AT2G44480	67.442	86	28	5.66e-41	132
104414351	AT2G21100	54.938	162	72	1.28e-56	182
104414352	AT3G06240	27.778	378	221	1.58e-25	107
104414353	AT5G11030	31	100	44	4.43e-18	52
104414354	AT4G14030	53.659	82	29	2.32e-16	84.3
104414355	AT4G01710	80	50	10	3.86e-20	89
104414357	AT2G44910	85.714	63	9	1.01e-28	120
104414358	AT1G78540	49.057	53	27	2.81e-11	67
104414359	AT1G04510	75	36	8	1.92e-13	52
104414362	AT5G13930	80.17	353	65	0	552
104414363	AT1G04780	70.107	562	154	0	756
104414364	AT1G55475	41.304	46	27	0.00082	40
104414365	AT3G24190	96	125	5	2.69e-68	249
104414366	AT5G07900	41.718	326	188	2.04e-82	264
104414367	AT5G07900	41.718	326	188	2.85e-78	259
104414368	AT1G04770	53.901	141	60	3.9e-35	136
104414369	AT2G13600	33.333	654	384	7.54e-117	387
104414371	AT4G23160	40.234	512	285	3.36e-113	390
104414374	AT2G44520	58.537	123	39	1.11e-33	137
104414375	AT3G24180	66.735	487	101	0	594
104414377	AT3G24170	76.812	69	16	7.8e-26	115
104414378	AT4G18905	62.745	51	18	9.04e-24	72.8
104414380	AT1G61810	42.593	162	54	1.16e-36	143
104414381	AT1G61810	55.422	83	37	2.55e-33	113
104414382	AT3G24160	70	30	9	0.000657	44.7
104414383	AT1G48520	62.637	182	57	5.04e-62	221
104414384	AT1G04680	89.401	217	23	4.01e-131	421
104414387	AT1G04630	73.846	65	12	7.08e-24	99.4
104414388	AT3G23990	60.44	91	5	8.64e-72	100
104414389	AT4G13580	77.13	223	42	7.6e-110	319
104414390	AT3G24030	68.033	122	39	2.51e-39	146
104414391	AT4G13590	76.19	63	15	1.29e-18	90.9
104414393	AT4G28710	49.545	220	17	4.43e-73	191
104414394	AT4G13550	46.24	359	165	5.02e-85	296
104414396	AT3G23920	85.657	251	35	3.68e-149	456
104414398	AT1G04140	30.769	351	184	8.34e-82	108
104414399	AT4G13520	50	44	21	1.92e-07	46.6
104414400	AT3G04310	34.444	180	106	5.85e-17	83.2
104414401	AT4G13510	82.892	491	72	0	716
104414403	AT1G62430	66.667	84	28	1.36e-45	129
104414404	AT3G16840	69.173	133	41	1.37e-45	181
104414405	AT2G33255	67.797	59	18	2.62e-19	90.5
104414406	AT2G33280	60.263	380	151	4.14e-119	375
104414407	AT3G12770	35.714	574	353	9.45e-113	372
104414408	AT5G36930	38.333	180	96	2.59e-32	124
104414409	AT3G24310	43.929	280	81	2.89e-43	156
104414410	AT4G13460	66.023	518	167	0	706
104414411	AT1G04555	65.625	32	11	1.61e-05	47.4
104414413	AT3G24320	48.052	308	115	7.84e-71	259
104414414	AT1G23860	83.333	30	5	2.75e-08	55.5
104414416	AT4G13440	39.024	82	48	5.72e-10	59.3
104414418	AT4G35310	38.961	77	42	0.000195	45.4
104414420	AT4G13430	45.833	144	20	2.48e-27	117
104414421	AT2G33310	54	100	39	1.23e-24	104
104414423	AT5G43960	50	106	43	1.71e-18	92
104414425	AT2G05590	27.542	236	85	3.95e-11	66.2
104414426	AT3G06240	27.139	409	224	2.77e-28	115
104414429	AT2G33340	47.778	90	16	1.17e-15	84.3
104414434	AT2G33360	30.102	588	322	5.92e-40	158
104414435	AT3G04400	96.842	95	3	4.51e-56	190
104414437	AT1G04040	43.21	162	59	4.9e-65	139
104414438	AT5G35620	69.355	62	17	2.55e-20	89.7
104414439	AT2G05620	55	100	41	2.54e-25	101
104414440	AT2G33390	44.595	74	38	3.67e-12	64.7
104414442	AT4G11690	48.177	521	259	1.1e-168	496
104414444	AT3G23470	41.989	181	28	5.27e-77	118
104414445	AT3G23530	47.273	165	32	4.08e-77	155
104414447	AT5G46050	70	210	61	1.05e-160	306
104414448	AT3G23490	66.304	92	30	1.85e-33	126
104414449	AT1G32580	50	52	19	5.53e-10	62
104414450	AT2G35240	62.59	139	42	8.09e-47	168
104414451	AT2G33435	35.88	301	179	1.08e-39	164
104414452	AT2G33450	96.104	77	3	1.13e-43	154
104414453	AT4G28600	52.326	430	199	3.46e-106	358
104414465	AT3G23440	48.889	90	37	2.77e-16	75.1
104414466	AT4G14305	48.421	95	17	1.44e-18	85.1
104414467	AT3G23430	48.276	174	54	4.39e-90	147
104414468	AT3G23410	65.428	269	87	0	367
104414469	AT4G14310	62.605	238	78	1.49e-90	315
104414470	AT4G14330	49.625	534	177	6.87e-146	333
104414471	AT4G05320	37.37	289	172	8.04e-47	168
104414473	AT4G05320	39.831	118	70	7.46e-37	80.9
104414475	AT4G05050	40.93	215	121	7.24e-38	139
104414476	AT2G33470	76.596	47	11	7.23e-18	84.3
104414477	AT3G25400	56.863	102	33	1.05e-18	80.9
104414478	AT2G20450	84.615	39	6	4.53e-27	75.9
104414479	AT4G14340	61.789	123	21	8.2e-40	153
104414480	AT4G14350	72.251	191	18	3.72e-89	286
104414481	AT4G14360	81.333	225	32	1.11e-116	384
104414482	AT2G31160	92.424	132	10	1e-69	226
104414483	AT4G33430	50.243	412	165	1.64e-122	374
104414484	AT3G23280	47.423	97	14	7.24e-25	83.2
104414485	AT1G04420	71.429	84	24	6.32e-31	128
104414487	AT4G14380	31.683	202	121	9.36e-16	75.9
104414488	AT1G65660	70.588	119	29	2.79e-94	172
104414490	AT1G71830	49.533	214	75	9.63e-77	200
104414491	AT5G43330	71.154	156	14	1.76e-68	198
104414492	AT1G57790	24.39	369	226	3.42e-11	65.9
104414493	AT1G57790	24.731	372	226	1.09e-09	61.6
104414494	AT1G57790	23.306	369	232	8.36e-11	64.7
104414496	AT3G24255	30.123	488	307	5.67e-55	204
104414498	AT2G07687	77.519	129	24	4.54e-47	173
104414502	AT1G16490	72.222	54	15	4.57e-20	92
104414503	AT4G29090	29.825	228	149	4.25e-26	100
104414504	AT4G25800	49.275	69	35	2.08e-29	75.9
104414505	AT2G31200	80	90	18	1.73e-38	140
104414506	AT1G08650	69.474	95	29	1.35e-69	142
104414507	AT1G08650	53.933	267	112	8.72e-91	281
104414508	AT3G54700	79.35	523	91	0	808
104414511	AT3G54700	73.157	529	128	0	685
104414512	AT2G38940	75.581	516	122	0	771
104414513	AT5G43360	80.925	519	98	0	869
104414514	AT5G59160	82.632	190	33	3.78e-112	324
104414517	AT2G25950	86.842	38	5	5.65e-21	74.7
104414518	AT4G33430	47.368	342	139	2.18e-92	294
104414519	AT4G35160	33.579	271	168	9.13e-31	124
104414520	AT4G35160	37.295	244	141	1.16e-26	112
104414521	AT3G23240	55.914	186	69	3.93e-50	169
104414522	AT3G23230	61.538	117	42	2.68e-29	110
104414523	AT3G23220	85.938	64	9	1.11e-24	96.7
104414524	AT5G43420	53.067	326	114	6.06e-82	263
104414525	AT5G13670	33.333	138	57	6.66e-16	68.9
104414526	AT3G23200	60.317	63	25	2.28e-30	79
104414528	AT1G06640	46.369	179	89	2.58e-60	132
104414529	AT1G06620	69.369	111	34	2.15e-43	159
104414531	AT1G06620	51.515	165	80	3.37e-89	186
104414532	AT1G06650	47.486	179	89	8.8e-50	179
104414536	AT1G06640	58.235	170	69	3.18e-51	184
104414537	AT3G10300	77.143	70	16	3.34e-31	124
104414538	AT1G06620	50.61	164	81	3.33e-87	181
104414540	AT1G06640	55.294	170	74	4.16e-49	175
104414543	AT1G48175	54.054	37	17	5.67e-09	42.7
104414544	AT3G05740	54.777	157	43	1.3e-38	153
104414547	AT5G36930	42.909	275	142	2.66e-36	152
104414550	AT2G25450	31.818	132	75	2.23e-06	48.9
104414551	AT5G43500	58.824	68	18	2.63e-25	82
104414552	AT4G14450	54.286	35	13	9.02e-05	42
104414554	AT1G30230	73.529	68	18	1.03e-24	105
104414555	AT3G23160	67.729	251	79	7.04e-109	347
104414556	AT3G58170	61.111	54	19	9.6e-15	73.2
104414557	AT3G23150	59.704	608	205	0	666
104414558	AT4G29090	36.681	229	134	5.41e-43	139
104414559	AT4G23160	31.692	325	211	3.86e-54	142
104414562	AT5G52070	40.698	86	43	4.32e-11	66.2
104414563	AT1G04300	76.471	119	28	9.27e-39	160
104414565	AT2G15490	37.979	287	159	8.55e-48	174
104414567	AT3G23100	78.723	47	10	2.43e-16	80.9
104414568	AT5G43600	72.84	81	22	4.34e-28	121
104414569	AT3G23090	72.5	40	11	5.12e-11	66.2
104414571	AT4G14500	65.986	147	44	1.51e-57	187
104414572	AT5G43630	45.062	162	80	1.41e-21	102
104414574	AT3G01680	35.354	99	57	1.12e-13	74.7
104414576	AT3G01680	34.146	164	92	1.11e-15	83.2
104414577	AT3G01680	34.756	164	91	1.3e-23	108
104414578	AT4G14520	38.614	202	102	2.43e-30	120
104414580	AT2G29760	35.161	529	293	4.72e-133	329
104414581	AT5G43670	76.678	283	66	0	471
104414582	AT1G04250	69.62	79	17	1.2e-38	99.8
104414583	AT5G43700	67.568	74	22	5.46e-51	112
104414584	AT2G41640	55.658	433	151	2.66e-169	483
104414585	AT1G04230	68.627	51	16	2.62e-13	73.6
104414591	AT3G47090	53.571	56	24	7.42e-14	60.1
104414594	AT3G10310	60.513	195	25	9.81e-92	221
104414597	AT2G33580	41.152	243	120	1.67e-46	179
104414598	AT3G23000	69.143	175	53	5.35e-77	257
104414599	AT4G14615	77.778	45	10	1.05e-16	75.9
104414600	AT1G68940	33.553	152	94	1.44e-14	80.5
104414601	AT5G43760	82.707	266	40	3.26e-147	442
104414602	AT2G41750	54.31	232	99	7.7e-62	206
104414603	AT3G22990	54.088	159	41	2.32e-43	166
104414608	AT3G19440	55.085	118	48	1.01e-30	116
104414609	AT3G19450	79.054	148	31	9.82e-50	181
104414610	AT4G34220	51.866	536	235	1.42e-139	449
104414611	AT4G34215	62.57	179	59	3e-66	226
104414612	AT2G34250	91.667	24	2	0.000106	47.8
104414614	AT4G34215	66.154	65	21	4.3e-18	87
104414616	AT2G47420	71.6	250	69	3.26e-104	328
104414617	AT2G15310	46.988	83	39	3.3e-15	76.3
104414618	AT4G34190	69.231	39	12	8.29e-10	58.5
104414620	AT4G34200	60.776	232	87	2.99e-82	282
104414623	AT2G41790	59.155	71	29	4.35e-39	94
104414626	AT1G09150	81.818	22	4	5.01e-06	46.6
104414628	AT4G14660	68.75	176	55	1.42e-85	276
104414630	AT5G27860	50	86	7	1.23e-11	64.7
104414632	AT1G56230	56.15	187	76	2.4e-57	209
104414634	AT3G14470	33.507	576	337	2.81e-72	248
104414636	AT3G16785	84.906	53	8	1.1e-61	107
104414637	AT1G56260	69.231	52	15	1.09e-20	72
104414638	AT1G56260	67.308	52	16	1.06e-14	71.6
104414640	AT3G05640	62.676	142	27	3.02e-50	183
104414641	AT5G27030	49.077	271	55	5.32e-69	223
104414642	AT2G40650	89.691	97	10	1.38e-53	192
104414645	AT3G14470	35.317	504	296	3.07e-68	249
104414647	AT4G11420	88.415	164	19	3.32e-76	276
104414648	AT4G11060	81.429	70	13	7.49e-39	121
104414650	AT1G09160	70	220	13	1.83e-103	268
104414651	AT3G53840	39.583	192	107	9.09e-24	104
104414653	AT5G27000	56.569	274	53	2.17e-95	303
104414656	AT3G05670	47.845	232	110	1.02e-71	149
104414657	AT1G56280	68	50	16	3.51e-08	55.8
104414658	AT5G26940	41.451	193	92	3.95e-30	123
104414659	AT3G06720	77.869	122	23	1.65e-114	192
104414660	AT4G25800	43.359	256	107	2.89e-60	210
104414661	AT3G05760	51.899	79	5	2.92e-15	75.1
104414662	AT2G47710	59.375	32	13	1.4e-11	47
104414664	AT4G22285	89.552	67	7	3.41e-68	127
104414665	AT1G09210	88.506	87	10	2.46e-108	167
104414666	AT1G15690	67.619	420	68	0	552
104414667	AT1G56350	84.615	104	16	1.61e-50	187
104414668	AT1G56420	47.619	105	39	3.6e-17	81.3
104414669	AT1G56423	60.569	246	91	1.32e-85	274
104414671	AT3G57785	91.429	70	6	4.8e-44	144
104414672	AT4G08150	65.455	55	19	1.65e-15	81.6
104414673	AT5G26850	84.444	45	7	1.65e-40	89.7
104414674	AT1G18610	43.243	185	97	3.26e-34	140
104414676	AT1G09250	53.571	112	43	3.09e-24	100
104414678	AT3G05810	73.684	57	15	8.68e-20	85.5
104414679	AT1G56500	80.645	62	12	3.63e-23	110
104414680	AT1G09270	65.823	158	16	1.41e-55	202
104414681	AT1G09280	61.355	251	81	3.55e-89	304
104414682	AT3G05270	55.556	108	44	4.72e-29	80.1
104414683	AT1G56580	65.101	149	48	8.38e-64	199
104414684	AT1G08070	39.948	766	394	0	570
104414685	AT1G56570	63.131	396	140	5.46e-178	529
104414686	AT1G56560	67.027	370	39	4.51e-151	474
104414687	AT1G56590	76.19	84	20	1.16e-36	144
104414688	AT1G09340	55.921	152	19	1.14e-44	167
104414689	AT1G56600	74.803	127	28	4.4e-94	191
104414690	AT4G36550	32.126	414	209	3.84e-77	160
104414692	AT5G03260	74.183	306	79	2.36e-154	464
104414693	AT5G66520	55.611	606	267	0	743
104414694	AT5G66530	67.241	58	19	1.5e-17	85.5
104414695	AT4G36520	93.22	59	4	2.2e-28	126
104414696	AT5G66500	54.979	482	214	4.15e-179	520
104414697	AT3G50910	52.555	137	63	1.87e-34	139
104414698	AT5G66450	70.667	75	22	1.77e-28	115
104414700	AT5G06860	55.272	313	136	3.71e-116	341
104414703	AT5G66430	40.856	257	111	9.11e-58	203
104414708	AT3G27030	73.239	71	19	1.08e-08	53.1
104414709	AT3G01970	72.881	59	16	4.95e-23	96.7
104414711	AT3G01990	64.904	208	65	8.64e-81	268
104414712	AT5G14080	52.258	465	221	4.73e-175	515
104414713	AT2G47610	89.13	46	5	1.16e-35	92.8
104414714	AT3G27000	53.409	88	5	2.18e-36	89.7
104414715	AT5G41040	79.094	287	56	1.63e-157	465
104414716	AT5G41050	51.754	114	52	2.56e-36	133
104414717	AT3G02000	64.234	137	39	4.19e-49	160
104414718	AT3G26990	83.133	83	14	8.54e-41	160
104414719	AT5G41070	89.024	82	9	4.03e-43	160
104414720	AT2G33480	59.677	62	25	1.06e-14	75.5
104414722	AT5G41110	66.667	87	29	3.16e-26	117
104414724	AT1G51160	75.862	87	15	4.73e-38	140
104414725	AT5G14020	46.486	185	30	1.29e-40	136
104414726	AT5G13210	58.832	685	241	0	772
104414728	AT5G13200	80	95	19	2.8e-65	164
104414729	AT5G13200	77.895	95	21	5.05e-64	160
104414730	AT1G23780	39.461	408	176	5.64e-57	195
104414733	AT2G33510	48.76	121	56	2.52e-22	96.7
104414742	AT3G22970	71.277	94	27	3.04e-86	146
104414744	AT3G55760	80.952	126	24	1.88e-61	222
104414745	AT3G13750	59.615	104	8	1.62e-47	124
104414749	AT3G22890	93.431	137	9	1.67e-79	271
104414752	AT5G43790	55.202	471	191	1.98e-158	485
104414753	AT1G04200	53.333	105	14	7.19e-63	115
104414754	AT3G22830	47.959	294	117	5.69e-66	227
104414755	AT2G26400	61.261	111	15	5.51e-42	144
104414756	AT4G14713	60.563	71	19	1.77e-13	72
104414757	AT5G62950	58.696	92	35	6.64e-26	104
104414758	AT1G03070	39.735	151	55	1.86e-23	100
104414759	AT3G51895	63.978	186	28	2.52e-64	233
104414760	AT1G04190	70.312	64	19	1.42e-21	99.4
104414763	AT3G22800	67.081	322	104	2.39e-141	415
104414764	AT4G34670	86.957	69	9	2.08e-31	124
104414765	AT3G22790	47.021	1410	658	0	934
104414766	AT4G14770	86.667	60	8	1.13e-50	115
104414767	AT3G22750	66.86	172	28	6.07e-62	218
104414768	AT3G22740	65.789	76	26	3.8e-26	98.2
104414770	AT3G22670	50.45	555	254	8.69e-167	513
104414771	AT2G32010	78.351	97	18	5.5e-63	146
104414774	AT3G22630	82.883	111	19	9.07e-57	196
104414776	AT1G05460	68.107	486	155	0	680
